player,rumuoured_club
B. Kapustka,SC Freiburg
Yuning Zhang,SV Werder Bremen
P. Aubameyang,Tianjin Quanjian
George Thomas,Swansea City
K. Manolas,Chelsea FC
Sheyi Ojo,Newcastle United
Kundai Benyu,Celtic FC
V. Klonaridis,AEK Athens
Muamer Tankovic,IFK Norrköping
Dardan Dakaj,Levante UD
Pontus Dahlberg,Tottenham Hotspur
A. Nilsson,Landskrona BoIS
Antony Kay,Port Vale FC
Wesley Sneijder,Los Angeles Football Club
Mateu Morey,Bayern Munich
Marko Livaja,AEK Athens
V. Klonaridis,AEK Athens
Tim Krul,HSC Montpellier
Kenny Tete,Crystal Palace
Neal Maupay,ES Troyes AC
E. Adebayor,SK Slavia Prag
Maxime Gonalons,AS Roma
Kevin Kampl,AC Milan
Diego Alves,Clube de Regatas do Flamengo
Vincent Marcel,Tottenham Hotspur
Gustavo Rosa,HNK Hajduk Split
Borja López,HNK Hajduk Split
Stevan Jovetic,AS Roma
Walace,SS Lazio
Yuning Zhang,SV Werder Bremen
Felix Wiedwald,Leeds United
Roque Mesa,Swansea City
Nampalys Mendy,FC Girondins Bordeaux
Francesco Totti,Tokyo Verdy
Eros Pisano,Bristol City
Madger Antonio,Leeds United
Maxime Biamou,Coventry City
Greg Stewart,Aberdeen FC
Nampalys Mendy,FC Girondins Bordeaux
R. te Loeke,Plymouth Argyle
Roque Mesa,Swansea City
Luka Jovic,Eintracht Frankfurt
Andy Halliday,FK Gabala
Enner Valencia,Tigres UANL
Joe Martin,Stevenage FC
Henry Onyekuru,Everton FC
Lucas Leiva,Trabzonspor
Vitolo,Chelsea FC
R. Nainggolan,Manchester United
Josh Bowler,Everton FC
Nathan Aké,AFC Bournemouth
Connor Mahoney,AFC Bournemouth
Danny,SK Slavia Prag
David Brooks,Everton FC
J. Menéndez,Zenit St. Petersburg
H. Calhanoglu,AC Milan
Matthias Ginter,Borussia Mönchengladbach
Rodrigo Rey,PAOK Thessaloniki
PAOK Thessaloniki want,re-sign Róbert Mak
O. Dembélé,Paris Saint-Germain
Kevin Kampl,Beijing Sinobo Guoan
Vincent Janssen,Borussia Mönchengladbach
Olivier Giroud,Olympique Lyon
Aron Gunnarsson,GNK Dinamo Zagreb
Mariano Díaz,Olympique Lyon
F. Diédhiou,Bristol City
Paulinho,FC Barcelona
Andreas Samaris,Newcastle United
Patrik Schick,Juventus FC
L. Mchedlidze,UC Sampdoria
Theo Hernández,Real Madrid
Jesús Vallejo,Real Madrid
G. Donnarumma,Real Madrid
Martin Skrtel,Swansea City
Johan Wiland,Hammarby IF
Nabil Bahoui,Malmö FF
Sulejman Krpic,FK Sloboda Tuzla
Dennis Aogo,FK Krasnodar
Fabio Borini,SS Lazio
Dennis Aogo,TSG 1899 Hoffenheim
S. Driussi,Zenit St. Petersburg
G. Kastanos,SV Zulte Waregem
Seydou Doumbia,Fenerbahce SK
Neto,Valencia CF
Rui Patrício,SSC Napoli
Neto,Watford FC
David Ball,Rotherham United
Ali Coote,Brentford FC
Craig Davies,Oldham Athletic
P. Tsintotas,AEK Athens
Faouzi Ghoulam,Liverpool FC
Blair Adams,Hartlepool United
Ben Whiteman,Doncaster Rovers
Max Clayton,Blackpool FC
Carlos Peña,Rangers FC
Asa Hall,Barrow AFC
Suso,Tottenham Hotspur
Kyle Lafferty,Heart of Midlothian FC
Haris Vuckic,FC Twente Enschede
Bradley Dack,Blackburn Rovers
Jozo Simunovic,SS Lazio
Paul Taylor,Bradford City
Victor Anichebe,Beijing Enterprises
Nathan Clarke,Grimsby Town
Paul McMullan,Dundee United FC
Abdoul Camara,EA Guingamp
Aidan McAdams,Rangers FC
Jan Lecjaks,GNK Dinamo Zagreb
C. McGeehan,Barnsley FC
Joel Grant,Plymouth Argyle
Nahki Wells,Burnley FC
Islam Slimani,Sporting CP
L. Depoitre,Huddersfield Town
Bradden Inman,Rochdale AFC
Dean Bowditch,Northampton Town
Stefan Stangl,HNK Rijeka
Nemanja Matic,Manchester United
Johan Dahlin,Malmö FF
Patrik Schick,Juventus FC
Kylian Mbappé,Liverpool FC
Pepe,Besiktas JK
A. Vellios,Olympiacos Piraeus
George Friend,Watford FC
Lucas Lima,FC Barcelona
Álvaro Negredo,AEK Athens
Lucas Biglia,AC Milan
Douglas Costa,Inter Milan
Viktor Fischer,1.FSV Mainz 05
Paul Dummett,Stoke City
Charlie Taylor,Burnley FC
André Hahn,Hamburger SV
Mario Pasalic,VfB Stuttgart
Paulinho,FC Barcelona
Alberto Moreno,SSC Napoli
Ben Gibson,Stoke City
W. Szczesny,Inter Milan
Aarón Caricol,FC Barcelona
Peter Vincenti,Coventry City
Marcelo Djaló,Fulham FC
Adam Campbell,Morecambe FC
Connor Smith,Yeovil Town
Jacob Murphy,Southampton FC
Jacob Murphy,Crystal Palace
Jacob Murphy,West Bromwich Albion
Jacob Murphy,Swansea City
Samir Nasri,Shanghai Greenland Shenhua
Sheyi Ojo,Newcastle United
Sheyi Ojo,Burnley FC
K. Iheanacho,Leicester City
Xherdan Shaqiri,AS Roma
R. van Persie,Feyenoord Rotterdam
Mateusz Klich,Leeds United
Marko Livaja,AEK Athens
Joe Ledley,Aston Villa
Seydou Doumbia,Sporting CP
Thomas Delaney,Brighton &amp;amp; Hove Albion
P. Retsos,Southampton FC
Will Hughes,Watford FC
Steve Mounié,Huddersfield Town
R. Lewandowski,Chelsea FC
Wesley Sneijder,Montreal Impact
G. Krychowiak,AC Milan
Liam Lindsay,Barnsley FC
Liam Boyce,Burton Albion
Luke Leahy,Walsall FC
Mark Gillespie,Walsall FC
Danny Ward,Cardiff City
B. Radunović,Benevento Calcio
B. Radunović,SPAL 2013
Zivko Zivkovic,PAOK Thessaloniki
V. Stojkovic,PAOK Thessaloniki
N. Maksimovic,UC Sampdoria
N. Radonjic,Red Star Belgrade
H. Nordtveit,TSG 1899 Hoffenheim
Lucas Lima,Paris Saint-Germain
Lucas Lima,Bayern Munich
Lucas Lima,Real Madrid
Lucas Lima,FC Barcelona
Lucas Lima,Chelsea FC
R. Lewandowski,Chelsea FC
Tal Ben Haim,AC Sparta Praha
Nordin Amrabat,Deportivo de La Coruña
Tal Ben Haim,AC Sparta Praha
Milan Badelj,Borussia Dortmund
René Adler,1.FSV Mainz 05
J. Mathieu,Sporting CP
Brad Guzan,Atlanta United FC
Nélson Semedo,Manchester United
E. Mangala,Olympique Lyon
Nathan Markelo,Everton FC
Rick Karsdorp,AS Roma
Mark Uth,1. FC Köln
Jay Rodríguez,West Bromwich Albion
Matz Sels,RSC Anderlecht
Lucas,Inter Milan
Brahim Konaté,SV Zulte Waregem
Alfredo Morelos,Rangers FC
Adam Chicksen,Bradford City
Nathan Markelo,Everton FC
Danny Newton,Stevenage FC
Brahim Konaté,Huddersfield Town
Phil Ofosu-Ayeh,Hull City
Éver Banega,RCD Espanyol Barcelona
Éver Banega,Sevilla FC
Josip Ilicic,UC Sampdoria
O. Karnezis,Torino FC
S. Sirigu,Torino FC
Kenny Tete,Galatasaray SK
L. Pellegrini,AS Roma
F. Acerbi,Galatasaray SK
Pietro Pellegri,AC Milan
E. Goldaniga,Genoa CFC
Papu Gómez,Inter Milan
Borja Valero,Inter Milan
G. Caprari,UC Sampdoria
Ryan Williams,Rotherham United
Dalbert,Inter Milan
Milan Skriniar,Inter Milan
Cristiano Ronaldo,Bayern Munich
Hirving Lozano,PSV Eindhoven
K. Manolas,Zenit St. Petersburg
Valeri Bojinov,Free agent
Calum Chambers,Everton FC
Steve Mounié,Fulham FC
N. Dimata,VfL Wolfsburg
Miralem Pjanic,FC Barcelona
J. Seri,FC Barcelona
C. Piccini,Sporting CP
J. Mathieu,Sporting CP
F. Coentrão,Sporting CP
Predrag Sikimic,FK Atyrau
Bruno Fernandes,Sporting CP
S. Handanovic,Paris Saint-Germain
Blaise Matuidi,Inter Milan
J. Seri,AS Roma
O. Dembélé,FC Barcelona
V. Aboubakar,Newcastle United
Jesús Navas,Zenit St. Petersburg
V. Lazaro,Hertha BSC
N. Isimat-Mirin,TSG 1899 Hoffenheim
J. Blaszczykowski,Chicago Fire
Enner Valencia,Tigres UANL
A. Oxlade-Chamberlain,Chelsea FC
Isaiah Brown,Huddersfield Town
Tammy Abraham,Swansea City
F. Andrijasevic,KAA Gent
FC Barcelona want,re-sign Gerard Deulofeu
Tammy Abraham,Hull City
Tomás Kalas,Hull City
Markus Suttner,Brighton &amp;amp; Hove Albion
Bernd Leno,AC Milan
Josh Tymon,Stoke City
Marco Verratti,FC Barcelona
Ryad Boudebouz,Bayer 04 Leverkusen
P. Aubameyang,Liverpool FC
Slavoljub Srnic,FC Sion
A. Zivkovic,Arsenal FC
Danilo Pantic,FK Partizan Belgrade
Rachid Ghezzal,AS Roma
Cristiano Ronaldo,Hertha BSC
R. Zivkovic,KV Oostende
R. van Persie,Feyenoord Rotterdam
Z. Ibrahimovic,FC Chamois Niort
Z. Ibrahimovic,Hertha BSC
G. Felicioli,Atalanta BC
Luca Vido,Atalanta BC
Andrea Conti,AC Milan
B. Traoré,Olympique Lyon
Amin Younes,Torino FC
Jordi Mboula,AS Monaco
S. Meïté,AS Monaco
Gabriel Paletta,Genoa CFC
Mattia Perin,AC Milan
Ángel Correa,Inter Milan
Cristiano Ronaldo,Chelsea FC
A. Oxlade-Chamberlain,Chelsea FC
A. Lacazette,Chelsea FC
Dani Alves,Manchester City
Adnan Januzaj,Real Sociedad
Sander Berge,Arsenal FC
Samir Nasri,Besiktas JK
Samir Nasri,Galatasaray SK
M'Baye Niang,Arsenal FC
P. Retsos,Borussia Mönchengladbach
Sokratis,Chelsea FC
Y. Carrasco,Bayern Munich
Adama Traoré,West Ham United
Bafetimbi Gomis,Galatasaray SK
George Hirst,Everton FC
Marco Verratti wants,join FC Barcelona
Patrik Schick,Juventus FC
Eldin Jakupovic,Leicester City
Anthony Modeste,Tianjin Quanjian
Gabriel Barbosa,UD Las Palmas
Tom Ince,Huddersfield Town
Lazar Markovic,Watford FC
Steven N'Zonzi,Juventus FC
Pepe,Paris Saint-Germain
Emil Forsberg,AC Milan
Lucas Leiva,Newcastle United
Aaron Mooy,Huddersfield Town
Mesut Özil,Paris Saint-Germain
Y. Belhanda,Galatasaray SK
Olivier Giroud,West Ham United
Willy Caballero,Chelsea FC
Jonny Evans,Leicester City
Jan Bednarek,Southampton FC
A. Robertson,Burnley FC
Tom Cairney,Newcastle United
Marco Verratti,FC Barcelona
Lorenzo Insigne,Chelsea FC
OGC Nice want,re-sign Carlos Eduardo
Andre Wisdom,Derby County
John Terry,Aston Villa
Douglas Costa,Juventus FC
Milan Mitrovic,FK Partizan Belgrade
Marko Simic,FK Partizan Belgrade
J. Seri,AS Roma
Diego Benaglio,AS Monaco
Davy Klaassen,Everton FC
André Silva,AC Milan
Vlad Chiriches,Galatasaray SK
Martin Woods,Dundee FC
Adam Lallana,Chelsea FC
Kylian Mbappé,Paris Saint-Germain
B. Mbunga Kimpioka,Arsenal FC
Joel Asoro,Arsenal FC
Dusan Tadic,Liverpool FC
Sammy Ameobi,Bolton Wanderers
Glenn Whelan,Aston Villa
Florian Lejeune,Newcastle United
A. Golovin,Arsenal FC
C. Tolisso,Bayern Munich
Bacary Sagna,Manchester City
Michy Batshuayi,AS Monaco
Ahmed Musa,Fenerbahce SK
Hirving Lozano,Manchester City
Keita Baldé,AC Milan
Saidy Janko,Reading FC
Jake Cooper,Millwall FC
Amine Harit,FC Schalke 04
Max Kruse,West Ham United
Mario Vrancic,Norwich City
Matthias Ginter,Tottenham Hotspur
G. Krychowiak,VfL Wolfsburg
Marko Bakic,Dinamo Bukarest
Lucas Leiva,Grêmio Foot-Ball Porto Alegrense
Fabian Delph,West Bromwich Albion
Fabian Delph,Stoke City
Riyad Mahrez,Chelsea FC
Denis Zakaria,Borussia Mönchengladbach
J. Mathieu,Bayer 04 Leverkusen
H. Badstuber,Sporting CP
Henry Onyekuru,West Ham United
Gelson Martins,Liverpool FC
J. Mathieu,Olympique Marseille
A. Gignac,Stade Rennais FC
Mario Lemina,Watford FC
Mario Lemina,Arsenal FC
Rúben Semedo,Villarreal CF
L. Bonucci,Chelsea FC
Jonathan Bond,Walsall FC
O. Dembélé,FC Barcelona
Max Meyer,TSG 1899 Hoffenheim
Liam Moore,Burnley FC
Kamil Grosicki,Watford FC
O. Elabdellaoui,Watford FC
Eldin Jakupovic,Watford FC
Craig Tanner,Motherwell FC
Diego Costa,AC Milan
Chey Dunkley,Wigan Athletic
C. Budescu,FCS Bucharest
Tammy Abraham,Brighton &amp;amp; Hove Albion
Yaya Sanogo,Free agent
Moussa Sanoh,Crawley Town
Á. Rodríguez,Queens Park Rangers
J. Seri,FC Barcelona
Vitor Hugo,ACF Fiorentina
C. Eriksen,FC Barcelona
Mathew Ryan,Brighton &amp;amp; Hove Albion
Adam Smith,Tottenham Hotspur
R. Nainggolan,Manchester United
Ryan Bertrand,Manchester City
Rúben Semedo,Southampton FC
F. Coentrão,Sporting CP
Vujadin Savic,Red Star Belgrade
V. Vukadinovic,AC Sparta Praha
Bentley,Red Star Belgrade
O. Svatok,Red Star Belgrade
A. Mitrovic,Fenerbahce SK
Romelu Lukaku,Bayern Munich
Vieirinha wants,rejoin PAOK Thessaloniki
Pepe,Paris Saint-Germain
Calum Chambers,Newcastle United
Tammy Abraham,Newcastle United
Josip Elez,FC Schalke 04
Naby Keïta,Liverpool FC
W. Szczesny,Juventus FC
Kyle McClean,St. Johnstone FC
Dimitar Mitov,Cambridge United
Fábio Cardoso,Rangers FC
Dálcio,Rangers FC
Mario Balotelli,Hellas Verona
Antonio Cassano,Hellas Verona
Fabinho,Paris Saint-Germain
Damir Kahriman,AE Larisa
Mario Maslac,Melbourne City FC
O. Dembélé,FC Barcelona
Dion Pereira,Reading FC
Modou Diagne,Reading FC
Modou Diagne,Stoke City
Liam Kelly,Swansea City
Dalbert,Inter Milan
A. Lacazette,Liverpool FC
W. Szczesny,Juventus FC
Jamie Vardy,Everton FC
Dragos Nedelcu,FCS Bucharest
G. Rodríguez,Olympiacos Piraeus
J. Rodríguez,AC Milan
Eden Hazard,Real Madrid
J. Rodríguez,AC Milan
Nélson Semedo,FC Barcelona
Keita Baldé,Liverpool FC
Pedro Obiang,Everton FC
Nolito,Sevilla FC
Steve Mandanda,Olympique Marseille
Reece Oxford,Borussia Mönchengladbach
Willy Caballero,Newcastle United
Gareth Bale,Manchester United
Max Kruse,Everton FC
R. Loftus-Cheek,AFC Bournemouth
Andrea Belotti,AC Milan
Sam Johnstone,Watford FC
Rúben Semedo,Newcastle United
Olimpiu Morutan,PSV Eindhoven
Dusan Vlahovic,ACF Fiorentina
Saša Jovanovic,Red Star Belgrade
Ryan Sessegnon,Manchester United
P. Aubameyang,Paris Saint-Germain
Steve Mounié,West Bromwich Albion
Ferland Mendy,Watford FC
Ismaïla Sarr,Newcastle United
A. Lacazette,Manchester United
Mohamed Salah,Liverpool FC
Jeremain Lens,Besiktas JK
Alexis Sánchez,Manchester City
P. Aubameyang,Paris Saint-Germain
Ashley Fletcher,Huddersfield Town
Davie Selke,Hertha BSC
Enes Ünal,Villarreal CF
Darren Fletcher,Stoke City
William,VfL Wolfsburg
André Hahn,Eintracht Frankfurt
Roman Zobnin,AS Roma
Roman Zobnin,FC Schalke 04
Rincón,FK Partizan Belgrade
Marko Jovanovic,FK Partizan Belgrade
Chris Porter,Crewe Alexandra
Enes Ünal,Villarreal CF
A. Lacazette,Atlético Madrid
Dominic Solanke wants,join Liverpool FC
Kylian Mbappé,Liverpool FC
J. Seri,Paris Saint-Germain
Bruno Alves,Rangers FC
Karim Rekik,Hertha BSC
B. Traoré,TSG 1899 Hoffenheim
Rafinha,Liverpool FC
Moussa Sissoko,Olympique Marseille
Omar Kharbin,Al-Ahli Jeddah
A. Chipciu,Real Betis Balompié
Bruma,RasenBallsport Leipzig
Pepe Reina,Newcastle United
J. Boateng,Chelsea FC
Wayne Rooney,Stoke City
Thomas Lemar,Tottenham Hotspur
Franck Kessié,AC Milan
J. Brooks,VfL Wolfsburg
Danny Rose,Manchester United
Nolito,Celta de Vigo
Nolito,Atlético Madrid
Ante Coric,UC Sampdoria
Domagoj Vida,Besiktas JK
Cengiz Ünder,Tottenham Hotspur
A. Ranocchia,Newcastle United
F. Bernardeschi wants,join Juventus FC
C. Washington,Birmingham City
Jonny Hayes,Birmingham City
Jordan Pickford,West Ham United
Chicharito,Olympique Lyon
G. Fernandes,Eintracht Frankfurt
Konrad Laimer,RasenBallsport Leipzig
L. Koscielny,Olympique Marseille
E. Mangala,Newcastle United
Ivan Perisic,Chelsea FC
A. Rüdiger,Inter Milan
R. Nainggolan,Inter Milan
Patrik Schick,Liverpool FC
Benjamin Mendy,Liverpool FC
V. Stojkovic,FK Partizan Belgrade
A. Palocevic,FK Partizan Belgrade
M. Braithwaite,ACF Fiorentina
P. Aubameyang,Paris Saint-Germain
Á. Di María,Inter Milan
Petar Skuletic,FK Partizan Belgrade
Jakob Johansson,GNK Dinamo Zagreb
Filip Bradaric,Sporting CP
Bernardo Silva,Manchester City
Tammy Abraham,Newcastle United
Álvaro Morata,AC Milan
Omar Colley,Watford FC
W. Carvalho,Newcastle United
Bruma,RasenBallsport Leipzig
Moutari Amadou,FK Partizan Belgrade
Zoran Tosic,FK Partizan Belgrade
A. Palocevic,FK Partizan Belgrade
A. Rukavina,FK Partizan Belgrade
V. Stojkovic,FK Partizan Belgrade
Marko Jovanovic,FK Partizan Belgrade
Petar Skuletic,FK Partizan Belgrade
Aaron Mooy,Brighton &amp;amp; Hove Albion
K. Iheanacho,West Bromwich Albion
Yann Karamoh,Newcastle United
FC Barcelona want,re-sign Gerard Deulofeu
Mohamed Salah,Liverpool FC
Bafetimbi Gomis,Galatasaray SK
Neven Subotic,Hamburger SV
Manuel Lanzini,Chelsea FC
Manuel Lanzini,Chelsea FC
B. Traoré,Olympique Lyon
Alex Lacey,Gillingham FC
Iker Casillas,Liverpool FC
C. Berra,Heart of Midlothian FC
Jermain Defoe,AFC Bournemouth
Emre Mor,Real Madrid
Vitolo,Atlético Madrid
Sandro Ramírez,Atlético Madrid
Fabinho,Atlético Madrid
Henry Onyekuru,Arsenal FC
André Hahn,Hertha BSC
Yuri Berchiche,Real Madrid
Yaya Touré,West Ham United
Eden Hazard,Real Madrid
Youri Tielemans,AS Monaco
Genki Haraguchi,Brighton &amp;amp; Hove Albion
Mathew Leckie,Hertha BSC
Vincenzo Grifo,Borussia Mönchengladbach
Moreto Cassamá,Borussia Mönchengladbach
Valère Germain,Olympique Marseille
Max Kruse,Tianjin Quanjian
Jhon Córdoba,1. FC Köln
A. Lacazette,Atlético Madrid
A. Golovin,Chelsea FC
Florinel Coman,SL Benfica
Kurt Zouma,Olympique Marseille
John Terry,Swansea City
K. Iheanacho,Everton FC
K. Iheanacho,West Ham United
Kurt Zouma,Valencia CF
Matthias Ginter,TSG 1899 Hoffenheim
S. Driussi,Borussia Dortmund
Amin Younes,RasenBallsport Leipzig
Jozo Simunovic,Newcastle United
Niko Kranjcar,Birmingham City
Ivan Perisic,Paris Saint-Germain
P. Aubameyang,Tianjin Quanjian
Jardel,West Bromwich Albion
Petar Skuletic,FK Vojvodina Novi Sad
Harry Maguire,Leicester City
Andre Gray,Everton FC
Mauricio Lemos,Everton FC
Nolito,Real Betis Balompié
O. Karnezis,Newcastle United
Jay Rodríguez,Newcastle United
Peter Crouch,Birmingham City
Harry Maguire,Newcastle United
Harry Maguire,Liverpool FC
Maciej Rybus,CSKA Moscow
G. Imbula,OGC Nice
Danny Welbeck,Galatasaray SK
G. Imbula,AS Roma
Víctor Valdés,Manchester City
Nathan Thomas,Middlesbrough FC
Thomas Lemar,Arsenal FC
Marten de Roon,Everton FC
Dani Alves,Chelsea FC
Yaya Touré,West Ham United
Nathan Thomas,Sheffield United
Shaun Maloney,Aberdeen FC
T. Vermaelen,Watford FC
Kevin Stewart,Aston Villa
Kevin Stewart,Norwich City
Kevin Stewart,Derby County
Kevin Stewart,Burnley FC
Kevin Stewart,Brighton &amp;amp; Hove Albion
David Stockdale,Leeds United
David Stockdale,Crystal Palace
R. Rodríguez,AC Milan
Lamine Koné,Crystal Palace
Lamine Koné,West Bromwich Albion
Vinícius Júnior,Real Madrid
Mario Balotelli,UD Las Palmas
Sandro Ramírez,Everton FC
Mohamed Salah,Atlético Madrid
Ross Barkley,Arsenal FC
Serge Gnabry,RasenBallsport Leipzig
A. Lacazette,Atlético Madrid
Y. Konoplyanka,Fenerbahce SK
Jorge Meré,SV Werder Bremen
Jorge Meré,1. FC Köln
Enes Ünal,Borussia Dortmund
J. Seri,Tottenham Hotspur
J. Seri,Arsenal FC
I. Nedelcearu,Manchester United
Stephen Odey,FC Midtjylland
Seydou Doumbia,CSKA Moscow
Stephen Odey,FK Krasnodar
V. Bichakhchyan,Galatasaray SK
G. Krychowiak,Inter Milan
Youri Tielemans,Manchester City
Bruma,Tottenham Hotspur
Kyle Walker,Manchester City
Jan Oblak,Manchester United
Lukas Hradecky,Bayern Munich
Davie Selke,SV Werder Bremen
Jesús Navas,Sevilla FC
Serge Gnabry,TSG 1899 Hoffenheim
Serge Gnabry,Borussia Dortmund
Wayne Rooney,Everton FC
Andrea Belotti,Manchester United
Jonathan Cafú,West Ham United
K. Richardson,Granada CF
Nigel Reo-Coker,Granada CF
Ignacio Camacho,Valencia CF
Ched Evans,Sheffield United
Kyle Walker,Bayern Munich
Alex Cairns,West Ham United
Marquinhos,Manchester United
Fabinho,Juventus FC
Youri Tielemans,Everton FC
Serge Aurier,FC Barcelona
C. Tolisso,Tottenham Hotspur
J. Rodríguez,Inter Milan
Fabinho,Inter Milan
Erhan Masovic,Club Brugge KV
Talisca,Manchester United
I. Nestorovski,Everton FC
Virgil van Dijk,Arsenal FC
Toni Kroos,Manchester United
Eric Dier,Manchester United
Michael Keane,Tottenham Hotspur
Douglas Costa,Tottenham Hotspur
Nikola Kalinic,AC Milan
T. Alderweireld,Inter Milan
Kyle Walker,Inter Milan
W. Szczesny,SSC Napoli
Isco,Paris Saint-Germain
Felipe,Inter Milan
G. Imbula,Galatasaray SK
Jeremain Lens,SSC Napoli
Henry Onyekuru,Southampton FC
W. Szczesny,Arsenal FC
Juan Mata,Besiktas JK
Pontus Jansson,Southampton FC
G. Sigurdsson,Southampton FC
Malcom,Sevilla FC
Malcom,Inter Milan
Malcom,AS Roma
Jesús Corona,Borussia Dortmund
A. Lacazette,Borussia Dortmund
Zoran Tosic,Galatasaray SK
Zoran Tosic,Trabzonspor
Jonathan Cafú,FC Schalke 04
Sead Kolasinac,Everton FC
John Terry,Arsenal FC
Marcelo,Botafogo Rio de Janeiro
John Terry,Birmingham City
John Terry,West Bromwich Albion
O. Dembélé,Manchester United
Saúl Ñíguez,Manchester City
Michael Keane,Manchester United
Dusan Tadic,AS Roma
Dusan Tadic,Atlético Madrid
A. Elmohamady,Stoke City
Romelu Lukaku,Manchester United
Milan Skriniar,Atlético Madrid
Marco Borriello,Toronto FC
Patrik Schick,Juventus FC
Patrik Schick,Inter Milan
Blerim Dzemaili,Montreal Impact
F. Bernardeschi,Juventus FC
Leon Goretzka,Bayern Munich
Fabio Borini,Celtic FC
F. Bernardeschi,Chelsea FC
Leon Goretzka,Juventus FC
Borja Mayoral,VfL Wolfsburg
Omar Mascarell,VfL Wolfsburg
J. Mascherano,Galatasaray SK
Henry Onyekuru,West Bromwich Albion
Mitchell Weiser,RasenBallsport Leipzig
Jan Oblak,Manchester United
P. Coutinho,Real Madrid
Eden Hazard,Paris Saint-Germain
Joe Hart,Manchester United
Joe Hart,Liverpool FC
Xabi Alonso,Retired
Marco Verratti,Bayern Munich
S. Milinkovic-Savic,Inter Milan
S. Milinkovic-Savic,Juventus FC
Gerard Deulofeu,FC Barcelona
Henry Onyekuru,Celtic FC
Kyle Bartley,Burnley FC
Ross Barkley,Manchester United
S. Milinkovic-Savic,Chelsea FC
Lucas Pérez,Paris Saint-Germain
Jorge Meré,Chelsea FC
Dusan Tadic,Arsenal FC
J. Mascherano,Manchester United
J. Mascherano,Arsenal FC
Arda Turan,Chelsea FC
Naby Keïta,Liverpool FC
Jesús Navas,AS Roma
Vincent Kompany,Everton FC
Vincent Kompany,West Ham United
Vicent Company,West Ham United
Gerard Deulofeu,SSC Napoli
Ben Gibson,Leicester City
Kylian Mbappé,Real Madrid
Andrea Barzagli,New York Cosmos
John Terry,Al-Nasr Salalah
Dusan Tadic,SSC Napoli
Dusan Tadic,AC Milan
Dusan Tadic,Inter Milan
Dusan Tadic,Juventus FC
Álvaro Morata,Tottenham Hotspur
Cesc Fàbregas,Atlético Madrid
Álvaro Morata,Manchester United
Álvaro Morata,Arsenal FC
Felipe Vizeu,SL Benfica
Kylian Mbappé,FC Barcelona
Bernardo Silva,FC Barcelona
Marco Verratti,FC Barcelona
L. Pellegrini,AC Milan
Mateo Musacchio,AC Milan
Sead Kolasinac,AC Milan
Dusan Tadic,Real Madrid
C. Pulisic,Tottenham Hotspur
Romelu Lukaku,West Ham United
Denis Alibec,Crystal Palace
J. Rodríguez,Liverpool FC
Marcos Llorente,Paris Saint-Germain
Carlos Soler,Bayern Munich
Neymar,Real Madrid
Elseid Hysaj,Arsenal FC
Elseid Hysaj,Manchester United
Max Meyer,Tottenham Hotspur
George Boyd,Aston Villa
Marc Cucurella,Borussia Dortmund
Leonardo Ulloa,West Bromwich Albion
Tammy Abraham,Leicester City
Luke Armstrong,Middlesbrough FC
J. Rodríguez,Arsenal FC
Glen Johnson,Crystal Palace
Jeison Murillo,Leicester City
Jordi Alba,Manchester United
Jordi Alba,Chelsea FC
Aarón Caricol,Manchester United
David López,Manchester United
Benjamin Mendy,Manchester United
Benjamin Mendy,Manchester City
Benjamin Mendy,Chelsea FC
Marc Cucurella,Manchester City
Tyrell Robinson,Watford FC
Lorenzo Insigne,Liverpool FC
Bojan Krkic,RCD Espanyol Barcelona
Srdjan Plavsic,Bursaspor
Michael Carrick,Newcastle United
Willian José,Southampton FC
Willian José,Watford FC
Willian José,Everton FC
Willian José,Newcastle United
Adnan Januzaj,SSC Napoli
Adnan Januzaj,AS Roma
Davy Klaassen,SS Lazio
S. Sirigu,Bayern Munich
Paulinho,Bayern Munich
Wilfried Zaha,Manchester City
Theo Hernández,FC Barcelona
Theo Hernández,Real Madrid
K. Großkreutz,SV Darmstadt 98
Youri Tielemans,Borussia Dortmund
Youri Tielemans,AS Monaco
Lucas Biglia,Chelsea FC
Daley Blind,AC Milan
Alberto Moreno,Atlético Madrid
S. Milinkovic-Savic,Manchester United
Dries Mertens,Manchester United
Alexis Sánchez,Manchester City
Youri Tielemans,Arsenal FC
G. Sigurdsson,Everton FC
Robert Zulj,Everton FC
Youri Tielemans,AS Monaco
Ryan Leonard,Sheffield United
Ezequiel Barco,AC Milan
Olivier Giroud,Olympique Marseille
Naby Keïta,Tottenham Hotspur
Kahraba,FC Porto
Omar Al-Soma,FC Porto
FC Porto want,re-sign R. Quaresma
Alexis Sánchez,Manchester United
Cédric Soares,Chelsea FC
Jack Wilshere,West Ham United
Marco Asensio,Juventus FC
O. Özyakup,AS Roma
H. Bellerín,Juventus FC
Mahmoud Dahoud,Borussia Dortmund
Greg Tansey,Aberdeen FC
Javier Pastore,Chelsea FC
Diego Costa,Paris Saint-Germain
Thomas Lemar,Chelsea FC
Jeremy Toljan,Chelsea FC
David Stockdale,Chelsea FC
Moussa Sissoko,Chelsea FC
Harry Maguire,Everton FC
Alex Sandro,Chelsea FC
David Alaba,Chelsea FC
Andre Gray,Newcastle United
Danny Rose,Manchester City
Moses Simon,West Bromwich Albion
Ivan Perisic,Manchester United
Johan Djourou,West Ham United
Leon Goretzka,Tottenham Hotspur
Leon Goretzka,Arsenal FC
Michael Keane,Liverpool FC
